model,data,fraction,roc,ap
KNN,satimage-2,0.31,0.9898,0.6446
KNN,satimage-2,0.32,0.9863,0.619
KNN,satimage-2,0.33,0.986,0.5962
KNN,satimage-2,0.34,0.9843,0.5782
KNN,satimage-2,0.35000000000000003,0.9843,0.5782
KNN,satimage-2,0.36000000000000004,0.9835,0.5681
KNN,satimage-2,0.37,0.9825,0.5594
KNN,satimage-2,0.38,0.9803,0.5424
KNN,satimage-2,0.39,0.9792,0.5366
KNN,satimage-2,0.4,0.9788,0.5335
KNN,satimage-2,0.41000000000000003,0.9705,0.509
KNN,satimage-2,0.42000000000000004,0.9701,0.5015
KNN,satimage-2,0.43,0.9701,0.4974
KNN,satimage-2,0.44,0.9667,0.4913
KNN,satimage-2,0.45,0.9667,0.4913
KNN,satimage-2,0.46,0.9663,0.4844
KNN,satimage-2,0.47000000000000003,0.9663,0.4844
KNN,satimage-2,0.48000000000000004,0.9663,0.4844
KNN,satimage-2,0.49,0.9652,0.4795
KNN,satimage-2,0.5,0.9649,0.4803
KNN,satimage-2,0.51,0.9649,0.4822
KNN,satimage-2,0.52,0.9649,0.4821
KNN,satimage-2,0.53,0.9649,0.4802
KNN,satimage-2,0.54,0.9649,0.4802
KNN,satimage-2,0.55,0.9649,0.4842
KNN,satimage-2,0.56,0.965,0.4851
KNN,satimage-2,0.5700000000000001,0.9645,0.4776
KNN,satimage-2,0.5800000000000001,0.9644,0.4757
KNN,satimage-2,0.59,0.9641,0.4752
KNN,satimage-2,0.6,0.9641,0.4752
KNN,satimage-2,0.61,0.9639,0.4748
KNN,satimage-2,0.62,0.9639,0.4748
KNN,satimage-2,0.63,0.9634,0.4718
KNN,satimage-2,0.64,0.9631,0.4673
KNN,satimage-2,0.65,0.9629,0.4623
KNN,satimage-2,0.66,0.9629,0.4623
KNN,satimage-2,0.67,0.9602,0.457
KNN,satimage-2,0.68,0.9602,0.457
KNN,satimage-2,0.6900000000000001,0.9599,0.455
KNN,satimage-2,0.7000000000000001,0.9594,0.4548
KNN,satimage-2,0.7100000000000001,0.9572,0.4415
KNN,satimage-2,0.72,0.9572,0.4402
KNN,satimage-2,0.73,0.9572,0.4402
KNN,satimage-2,0.74,0.9571,0.4343
KNN,satimage-2,0.75,0.9571,0.4332
KNN,satimage-2,0.76,0.9557,0.4254
KNN,satimage-2,0.77,0.9556,0.4251
KNN,satimage-2,0.78,0.9555,0.4217
KNN,satimage-2,0.79,0.9528,0.4095
KNN,satimage-2,0.8,0.9528,0.4095
KNN,satimage-2,0.81,0.9521,0.4059
KNN,satimage-2,0.8200000000000001,0.9521,0.4059
KNN,satimage-2,0.8300000000000001,0.9499,0.397
KNN,satimage-2,0.8400000000000001,0.9499,0.3968
KNN,satimage-2,0.85,0.9499,0.3968
KNN,satimage-2,0.86,0.9486,0.3942
KNN,satimage-2,0.87,0.9486,0.3942
KNN,satimage-2,0.88,0.9482,0.3927
