model,data,fraction,roc,ap
KNN,pendigits,0.21000000000000002,0.9649,0.4152
KNN,pendigits,0.22,0.961,0.3921
KNN,pendigits,0.23,0.9557,0.3541
KNN,pendigits,0.24000000000000002,0.9502,0.3301
KNN,pendigits,0.25,0.9476,0.3147
KNN,pendigits,0.26,0.9436,0.2882
KNN,pendigits,0.27,0.9407,0.2779
KNN,pendigits,0.28,0.9338,0.2639
KNN,pendigits,0.29000000000000004,0.9303,0.2458
KNN,pendigits,0.3,0.9266,0.2367
KNN,pendigits,0.31,0.9252,0.2302
KNN,pendigits,0.32,0.9219,0.2174
KNN,pendigits,0.33,0.9213,0.2142
KNN,pendigits,0.34,0.9197,0.2091
KNN,pendigits,0.35000000000000003,0.9181,0.2069
KNN,pendigits,0.36000000000000004,0.9122,0.2005
KNN,pendigits,0.37,0.9087,0.1923
KNN,pendigits,0.38,0.9067,0.1881
KNN,pendigits,0.39,0.9046,0.1858
KNN,pendigits,0.4,0.8968,0.1746
KNN,pendigits,0.41000000000000003,0.8952,0.1735
KNN,pendigits,0.42000000000000004,0.8908,0.1703
KNN,pendigits,0.43,0.885,0.1661
KNN,pendigits,0.44,0.8809,0.161
KNN,pendigits,0.45,0.8807,0.1602
KNN,pendigits,0.46,0.8759,0.1552
KNN,pendigits,0.47000000000000003,0.8716,0.1538
KNN,pendigits,0.48000000000000004,0.8687,0.1496
KNN,pendigits,0.49,0.8658,0.1459
KNN,pendigits,0.5,0.8627,0.1434
KNN,pendigits,0.51,0.8616,0.1409
KNN,pendigits,0.52,0.8552,0.1368
KNN,pendigits,0.53,0.8541,0.1345
KNN,pendigits,0.54,0.852,0.1328
KNN,pendigits,0.55,0.8497,0.1309
KNN,pendigits,0.56,0.8424,0.1276
KNN,pendigits,0.5700000000000001,0.842,0.1272
KNN,pendigits,0.5800000000000001,0.8399,0.1254
KNN,pendigits,0.59,0.8381,0.1249
KNN,pendigits,0.6,0.836,0.1233
KNN,pendigits,0.61,0.8336,0.1223
KNN,pendigits,0.62,0.8335,0.1202
KNN,pendigits,0.63,0.833,0.1194
KNN,pendigits,0.64,0.8248,0.1167
KNN,pendigits,0.65,0.8209,0.1155
KNN,pendigits,0.66,0.8205,0.1148
KNN,pendigits,0.67,0.818,0.1138
KNN,pendigits,0.68,0.8156,0.1127
KNN,pendigits,0.6900000000000001,0.8152,0.1119
KNN,pendigits,0.7000000000000001,0.8134,0.1115
KNN,pendigits,0.7100000000000001,0.8064,0.1101
KNN,pendigits,0.72,0.8032,0.109
KNN,pendigits,0.73,0.801,0.1074
KNN,pendigits,0.74,0.8009,0.1074
KNN,pendigits,0.75,0.7982,0.106
KNN,pendigits,0.76,0.795,0.1049
KNN,pendigits,0.77,0.792,0.1042
KNN,pendigits,0.78,0.7912,0.1031
KNN,pendigits,0.79,0.7873,0.1026
KNN,pendigits,0.8,0.7835,0.1016
KNN,pendigits,0.81,0.7815,0.1005
KNN,pendigits,0.8200000000000001,0.7795,0.1001
KNN,pendigits,0.8300000000000001,0.7758,0.0995
KNN,pendigits,0.8400000000000001,0.7724,0.098
KNN,pendigits,0.85,0.7722,0.097
KNN,pendigits,0.86,0.7713,0.0968
KNN,pendigits,0.87,0.7704,0.0954
KNN,pendigits,0.88,0.7676,0.0948
KNN,pendigits,0.89,0.7668,0.0944
KNN,pendigits,0.9,0.7648,0.0941
KNN,pendigits,0.91,0.7628,0.0935
KNN,pendigits,0.92,0.7605,0.0912
KNN,pendigits,0.93,0.759,0.09
KNN,pendigits,0.9400000000000001,0.7568,0.0895
KNN,pendigits,0.9500000000000001,0.7563,0.0893
KNN,pendigits,0.9600000000000001,0.7494,0.0886
KNN,pendigits,0.97,0.7438,0.0877
KNN,pendigits,0.98,0.7418,0.0874
KNN,pendigits,0.99,0.7403,0.0868
KNN,pendigits,1.0,0.7385,0.0862
IFSKNN,pendigits,0.01,0.9833,0.4684
IFSKNN,pendigits,0.02,0.9805,0.4538
IFSKNN,pendigits,0.03,0.9821,0.4638
IFSKNN,pendigits,0.04,0.9823,0.4613
IFSKNN,pendigits,0.05,0.9828,0.4654
IFSKNN,pendigits,0.060000000000000005,0.9828,0.4713
IFSKNN,pendigits,0.06999999999999999,0.9821,0.4608
IFSKNN,pendigits,0.08,0.9821,0.4568
IFSKNN,pendigits,0.09,0.9839,0.4873
IFSKNN,pendigits,0.09999999999999999,0.9826,0.4631
IFSKNN,pendigits,0.11,0.9843,0.4958
IFSKNN,pendigits,0.12,0.9808,0.4452
IFSKNN,pendigits,0.13,0.9806,0.4388
IFSKNN,pendigits,0.14,0.982,0.4612
IFSKNN,pendigits,0.15000000000000002,0.9822,0.4512
IFSKNN,pendigits,0.16,0.9806,0.4532
IFSKNN,pendigits,0.17,0.9812,0.4466
IFSKNN,pendigits,0.18000000000000002,0.9815,0.456
IFSKNN,pendigits,0.19,0.9821,0.4645
IFSKNN,pendigits,0.2,0.9818,0.4589
IFSKNN,pendigits,0.21000000000000002,0.9824,0.4661
IFSKNN,pendigits,0.22,0.9817,0.462
IFSKNN,pendigits,0.23,0.9798,0.4386
IFSKNN,pendigits,0.24000000000000002,0.98,0.4524
IFSKNN,pendigits,0.25,0.9824,0.4699
IFSKNN,pendigits,0.26,0.9819,0.4626
IFSKNN,pendigits,0.27,0.9817,0.4626
IFSKNN,pendigits,0.28,0.9794,0.4472
IFSKNN,pendigits,0.29000000000000004,0.9799,0.4484
IFSKNN,pendigits,0.3,0.9756,0.4489
IFSKNN,pendigits,0.31,0.9721,0.4272
IFSKNN,pendigits,0.32,0.9813,0.4582
IFSKNN,pendigits,0.33,0.9804,0.4523
IFSKNN,pendigits,0.34,0.9785,0.4357
IFSKNN,pendigits,0.35000000000000003,0.9776,0.4365
IFSKNN,pendigits,0.36000000000000004,0.9798,0.4543
IFSKNN,pendigits,0.37,0.9775,0.4431
IFSKNN,pendigits,0.38,0.9716,0.4235
IFSKNN,pendigits,0.39,0.9784,0.4678
IFSKNN,pendigits,0.4,0.9781,0.4511
IFSKNN,pendigits,0.41000000000000003,0.974,0.4216
IFSKNN,pendigits,0.42000000000000004,0.9741,0.4296
IFSKNN,pendigits,0.43,0.9779,0.4539
IFSKNN,pendigits,0.44,0.973,0.4461
IFSKNN,pendigits,0.45,0.9673,0.4158
IFSKNN,pendigits,0.46,0.9689,0.4168
IFSKNN,pendigits,0.47000000000000003,0.9648,0.4311
IFSKNN,pendigits,0.48000000000000004,0.9633,0.4044
IFSKNN,pendigits,0.49,0.9587,0.39
IFSKNN,pendigits,0.5,0.9628,0.4081
IFSKNN,pendigits,0.51,0.9628,0.4176
IFSKNN,pendigits,0.52,0.9661,0.4129
IFSKNN,pendigits,0.53,0.9656,0.4294
IFSKNN,pendigits,0.54,0.9525,0.3855
IFSKNN,pendigits,0.55,0.9597,0.416
IFSKNN,pendigits,0.56,0.9574,0.405
IFSKNN,pendigits,0.5700000000000001,0.9475,0.3779
IFSKNN,pendigits,0.5800000000000001,0.9673,0.4399
IFSKNN,pendigits,0.59,0.961,0.4134
IFSKNN,pendigits,0.6,0.959,0.395
IFSKNN,pendigits,0.61,0.9552,0.3955
IFSKNN,pendigits,0.62,0.9595,0.4138
IFSKNN,pendigits,0.63,0.9531,0.378
IFSKNN,pendigits,0.64,0.9443,0.3702
IFSKNN,pendigits,0.65,0.9391,0.3423
IFSKNN,pendigits,0.66,0.9522,0.3868
IFSKNN,pendigits,0.67,0.9417,0.3637
IFSKNN,pendigits,0.68,0.9337,0.3293
IFSKNN,pendigits,0.6900000000000001,0.9297,0.3393
IFSKNN,pendigits,0.7000000000000001,0.9357,0.3603
IFSKNN,pendigits,0.7100000000000001,0.9416,0.3756
IFSKNN,pendigits,0.72,0.9413,0.369
IFSKNN,pendigits,0.73,0.9228,0.3173
IFSKNN,pendigits,0.74,0.9373,0.3602
IFSKNN,pendigits,0.75,0.9287,0.3291
IFSKNN,pendigits,0.76,0.9339,0.3535
IFSKNN,pendigits,0.77,0.9387,0.3676
IFSKNN,pendigits,0.78,0.9293,0.3399
IFSKNN,pendigits,0.79,0.9147,0.3153
IFSKNN,pendigits,0.8,0.913,0.322
IFSKNN,pendigits,0.81,0.9391,0.3556
IFSKNN,pendigits,0.8200000000000001,0.9232,0.3372
IFSKNN,pendigits,0.8300000000000001,0.9105,0.3141
IFSKNN,pendigits,0.8400000000000001,0.8986,0.2979
IFSKNN,pendigits,0.85,0.9028,0.3036
IFSKNN,pendigits,0.86,0.9241,0.338
IFSKNN,pendigits,0.87,0.9236,0.3298
IFSKNN,pendigits,0.88,0.9053,0.2965
IFSKNN,pendigits,0.89,0.9015,0.2939
IFSKNN,pendigits,0.9,0.8897,0.291
IFSKNN,pendigits,0.91,0.8895,0.2755
IFSKNN,pendigits,0.92,0.8915,0.281
IFSKNN,pendigits,0.93,0.8795,0.2694
IFSKNN,pendigits,0.9400000000000001,0.8732,0.2625
IFSKNN,pendigits,0.9500000000000001,0.8863,0.262
IFSKNN,pendigits,0.9600000000000001,0.8604,0.2586
IFSKNN,pendigits,0.97,0.8736,0.2649
IFSKNN,pendigits,0.98,0.8702,0.2735
IFSKNN,pendigits,0.99,0.8588,0.2544
IFSKNN,pendigits,1.0,0.8661,0.2754
OCSVM,pendigits,0.01,0.9627,0.3614
OCSVM,pendigits,0.02,0.9626,0.3608
OCSVM,pendigits,0.03,0.9625,0.3598
OCSVM,pendigits,0.04,0.9622,0.3586
OCSVM,pendigits,0.05,0.9621,0.3576
OCSVM,pendigits,0.060000000000000005,0.9618,0.3564
OCSVM,pendigits,0.06999999999999999,0.9617,0.3553
OCSVM,pendigits,0.08,0.9614,0.354
OCSVM,pendigits,0.09,0.9613,0.353
OCSVM,pendigits,0.09999999999999999,0.9611,0.3516
OCSVM,pendigits,0.11,0.961,0.3514
OCSVM,pendigits,0.12,0.9606,0.3503
OCSVM,pendigits,0.13,0.9604,0.3471
OCSVM,pendigits,0.14,0.9604,0.3463
OCSVM,pendigits,0.15000000000000002,0.9601,0.3453
OCSVM,pendigits,0.16,0.9598,0.343
OCSVM,pendigits,0.17,0.9595,0.3415
OCSVM,pendigits,0.18000000000000002,0.9594,0.3412
OCSVM,pendigits,0.19,0.9592,0.3407
OCSVM,pendigits,0.2,0.9588,0.338
OCSVM,pendigits,0.21000000000000002,0.9585,0.3365
OCSVM,pendigits,0.22,0.9583,0.3333
OCSVM,pendigits,0.23,0.958,0.3324
OCSVM,pendigits,0.24000000000000002,0.9575,0.3307
OCSVM,pendigits,0.25,0.9573,0.3294
OCSVM,pendigits,0.26,0.957,0.3285
OCSVM,pendigits,0.27,0.9568,0.328
OCSVM,pendigits,0.28,0.9565,0.3268
OCSVM,pendigits,0.29000000000000004,0.9562,0.3258
OCSVM,pendigits,0.3,0.9559,0.3253
OCSVM,pendigits,0.31,0.9559,0.3247
OCSVM,pendigits,0.32,0.9555,0.3233
OCSVM,pendigits,0.33,0.9552,0.3212
OCSVM,pendigits,0.34,0.9549,0.3201
OCSVM,pendigits,0.35000000000000003,0.9548,0.3193
OCSVM,pendigits,0.36000000000000004,0.9543,0.3168
OCSVM,pendigits,0.37,0.9541,0.316
OCSVM,pendigits,0.38,0.954,0.3154
OCSVM,pendigits,0.39,0.9536,0.3136
OCSVM,pendigits,0.4,0.9533,0.3121
OCSVM,pendigits,0.41000000000000003,0.9529,0.3108
OCSVM,pendigits,0.42000000000000004,0.9525,0.3096
OCSVM,pendigits,0.43,0.9522,0.3088
OCSVM,pendigits,0.44,0.9517,0.3076
OCSVM,pendigits,0.45,0.9516,0.307
OCSVM,pendigits,0.46,0.9512,0.3057
OCSVM,pendigits,0.47000000000000003,0.9509,0.3043
OCSVM,pendigits,0.48000000000000004,0.9505,0.3027
OCSVM,pendigits,0.49,0.9503,0.3022
OCSVM,pendigits,0.5,0.9499,0.3012
OCSVM,pendigits,0.51,0.9498,0.3
OCSVM,pendigits,0.52,0.9492,0.2986
OCSVM,pendigits,0.53,0.9491,0.298
OCSVM,pendigits,0.54,0.9489,0.2975
OCSVM,pendigits,0.55,0.9487,0.2969
OCSVM,pendigits,0.56,0.9478,0.2951
OCSVM,pendigits,0.5700000000000001,0.9478,0.2949
OCSVM,pendigits,0.5800000000000001,0.9475,0.2941
OCSVM,pendigits,0.59,0.9471,0.2931
OCSVM,pendigits,0.6,0.9467,0.2917
OCSVM,pendigits,0.61,0.9464,0.2908
OCSVM,pendigits,0.62,0.9462,0.2874
OCSVM,pendigits,0.63,0.946,0.2862
OCSVM,pendigits,0.64,0.9453,0.2847
OCSVM,pendigits,0.65,0.9449,0.2839
OCSVM,pendigits,0.66,0.9447,0.2833
OCSVM,pendigits,0.67,0.9446,0.2827
OCSVM,pendigits,0.68,0.9439,0.2814
OCSVM,pendigits,0.6900000000000001,0.9436,0.2803
OCSVM,pendigits,0.7000000000000001,0.9433,0.2792
OCSVM,pendigits,0.7100000000000001,0.9429,0.2787
